,LN229,U87_MG,U251,NCH_644,ZH487-GB,ZH487-cell,NCH_636,NCH_705,NCH_711d
mean_SOX10_qPCR,1.000012197,1.30579E-05,2.62919E-05,1.762097249,NA,0.613906154,0.001321253,4.77555E-06,0.013740346
SD_SOX10_qPCR,0.018898973,8.44565E-06,2.21624E-06,0.030104688,NA,0.014006569,0.000191099,2.40436E-06,0.000805434
SOX10_microarray,3610,81,104,2336,NA,1660,82.5,107,74
